artefact_id,period,raw_material,platform_prep,length_mm,width_mm,thickness_mm,platform_mm,weight_g,giur
ART-0287,Upper,Fine chert,Abraded,44.6mm,17.5,7,5.7,3.6 g,0.412
ART-0288,Upper,Basic chert,Plain,39.4mm,17.5,5.5,5.4,2.38 g,0.379
ART-0289,Upper,  Fine chert  ,Plain,44.7mm,18,6.8,5.5,2.7 g,0.341
ART-0290,Upper,Basic chert,Abraded,60.7mm,24.1,8.1,6.7,5.78 g,0.303
ART-0291,Upper,  Quartzite  ,Faceted,51.8mm,16.4,6.7,5.2,3.21 g,0.297
ART-0292,Upper,Fine chert,Abraded,62.7mm,23.7,7.3,7.5,5.64 g,0.254
ART-0293,Upper,Fine chert,Abraded,49.1mm,18.9,7.1,5.1,3.34 g,0.346
ART-0294,Upper,Quartzite,Abraded,46.8mm,19.9,8,5.9,4.68 g,0.383
ART-0295,Upper,  Obsidian  ,Abraded,66.1mm,21.8,8.5,7,7.18 g,0.237
ART-0296,Upper,Fine chert,Faceted,47.7mm,18.1,6.1,4.8,3.39 g,0.397
ART-0297,Upper,Obsidian,Abraded,48.1mm,23.8,7.3,6.2,5.08 g,0.286
ART-0298,Upper,Quartzite,Abraded,47.3mm,16.3,5.9,5.1,3.06 g,0.285
ART-0299,Upper,FINE CHERT,Faceted,50mm,21.4,6.6,5.5,4.18 g,0.376
ART-0300,Upper,Fine chert,Abraded,43.9mm,17.3,6.9,5.9,3.17 g,0.492
