artefact_id,period,raw_material,platform_prep,length_mm,width_mm,thickness_mm,platform_mm,weight_g,giur,elongation
ART-0266,Upper,Obsidian,Abraded,45.5,19.8,8.2,5.4,3.32,0.394,2.297979797979798
ART-0267,Upper,Obsidian,Abraded,59.7,21.9,9,7.2,5.21,0.337,2.726027397260274
ART-0268,Upper,Fine Chert,Plain,52.2,16.2,6.1,4.5,3.08,0.509,3.2222222222222223
ART-0269,Upper,Quartzite,Abraded,55.8,20.9,8.1,5.8,4.88,0.383,2.6698564593301435
ART-0270,Upper,Fine Chert,Faceted,47.8,17.3,5.5,5.9,2.32,0.428,2.7630057803468207
ART-0271,Upper,Fine Chert,Plain,46.7,18.8,6,5.3,2.84,0.367,2.4840425531914896
ART-0272,Upper,Fine Chert,Abraded,52.6,26.2,7.4,6.6,5.75,0.338,2.0076335877862594
ART-0273,Upper,Fine Chert,Abraded,56.6,20.5,6.7,5.4,3.79,0.075,2.760975609756098
ART-0274,Upper,Fine Chert,Abraded,54.9,21.9,6.4,5.2,4.55,0.509,2.5068493150684934
ART-0275,Upper,Quartzite,Plain,39.2,20.7,7,5.6,3.8299999999999996,0.377,1.8937198067632852
ART-0276,Upper,Quartzite,Abraded,44.8,18.1,6.5,7.2,2.86,0.357,2.475138121546961
ART-0277,Upper,Obsidian,Faceted,59.3,22.4,7.7,8.3,5.21,0.257,2.647321428571429
ART-0278,Upper,Fine Chert,Faceted,48.4,18.6,5.1,5.9,2.4699999999999998,0.347,2.6021505376344085
ART-0279,Upper,Fine Chert,Abraded,42.2,20.3,7.6,6.2,3.7600000000000002,0.414,2.0788177339901477
ART-0280,Upper,Fine Chert,Abraded,68.4,24.8,7.2,7.4,7.619999999999999,0.296,2.7580645161290325
ART-0281,Upper,Basic Chert,Abraded,53.1,19.3,6.6,6.5,3.96,0.195,2.7512953367875648
ART-0282,Upper,Fine Chert,Abraded,55.8,18.2,7.4,6.4,4.54,0.334,3.0659340659340657
ART-0283,Upper,Fine Chert,Abraded,45.5,20.1,6.1,6.3,3.59,0.282,2.263681592039801
ART-0284,Upper,Fine Chert,Plain,63.1,22.2,7.6,6,6.819999999999999,0.234,2.8423423423423424
ART-0285,Upper,Quartzite,Abraded,47,19.8,6.3,6.4,3.1,0.295,2.3737373737373737
ART-0286,Upper,Fine Chert,Plain,49,15,6.8,5.4,2.58,0.281,3.2666666666666666
ART-0287,Upper,Fine Chert,Abraded,44.6,17.5,7,5.7,3.6,0.412,2.5485714285714285
ART-0288,Upper,Basic Chert,Plain,39.4,17.5,5.5,5.4,2.38,0.379,2.2514285714285713
ART-0289,Upper,Fine Chert,Plain,44.7,18,6.8,5.5,2.7,0.341,2.4833333333333334
ART-0290,Upper,Basic Chert,Abraded,60.7,24.1,8.1,6.7,5.78,0.303,2.5186721991701244
ART-0291,Upper,Quartzite,Faceted,51.8,16.4,6.7,5.2,3.21,0.297,3.158536585365854
ART-0292,Upper,Fine Chert,Abraded,62.7,23.7,7.3,7.5,5.64,0.254,2.645569620253165
ART-0293,Upper,Fine Chert,Abraded,49.1,18.9,7.1,5.1,3.34,0.346,2.597883597883598
ART-0294,Upper,Quartzite,Abraded,46.8,19.9,8,5.9,4.68,0.383,2.351758793969849
ART-0295,Upper,Obsidian,Abraded,66.1,21.8,8.5,7,7.18,0.237,3.0321100917431187
ART-0296,Upper,Fine Chert,Faceted,47.7,18.1,6.1,4.8,3.3899999999999997,0.397,2.6353591160220993
ART-0297,Upper,Obsidian,Abraded,48.1,23.8,7.3,6.2,5.08,0.286,2.0210084033613445
ART-0298,Upper,Quartzite,Abraded,47.3,16.3,5.9,5.1,3.06,0.285,2.9018404907975457
ART-0299,Upper,Fine Chert,Faceted,50,21.4,6.6,5.5,4.18,0.376,2.336448598130841
ART-0300,Upper,Fine Chert,Abraded,43.9,17.3,6.9,5.9,3.17,0.492,2.53757225433526
